"doorId","hostWallFunction","fromRoomName","fromRoomNumber","toRoomName","toRoomNumber","candidateReason"
"5017267","Interior","Тамбур-шлюз 1.131","1.131","","","FromOrToRoomIsNull"
"5017268","Interior","Тамбур-шлюз 1.131","1.131","","","FromOrToRoomIsNull"
"5192786","Interior","Лифтовый холл 1.1135","1.1135","","","FromOrToRoomIsNull"
"5192787","Interior","Лифтовый холл 1.1135","1.1135","","","FromOrToRoomIsNull"
"5544799","Interior","Лифтовый холл 1.235","1.235","","","FromOrToRoomIsNull"
"5544800","Interior","Лифтовый холл 1.235","1.235","","","FromOrToRoomIsNull"
"5570282","Interior","Лифтовый холл 435","435","","","FromOrToRoomIsNull"
"5570283","Interior","Лифтовый холл 435","435","","","FromOrToRoomIsNull"
"5583384","Interior","Лифтовый холл 84","84","","","FromOrToRoomIsNull"
"5583385","Interior","Лифтовый холл 84","84","","","FromOrToRoomIsNull"
"5583516","Interior","Лифтовый холл 123","123","","","FromOrToRoomIsNull"
"5583517","Interior","Лифтовый холл 123","123","","","FromOrToRoomIsNull"
"5583628","Interior","Лифтовый холл 162","162","","","FromOrToRoomIsNull"
"5583629","Interior","Лифтовый холл 162","162","","","FromOrToRoomIsNull"
"5583740","Interior","Лифтовый холл 201","201","","","FromOrToRoomIsNull"
"5583741","Interior","Лифтовый холл 201","201","","","FromOrToRoomIsNull"
"5584758","Interior","Лифтовый холл 240","240","","","FromOrToRoomIsNull"
"5584759","Interior","Лифтовый холл 240","240","","","FromOrToRoomIsNull"
"5584953","Interior","Лифтовый холл 280","280","","","FromOrToRoomIsNull"
"5584954","Interior","Лифтовый холл 280","280","","","FromOrToRoomIsNull"
"5585136","Interior","Лифтовый холл 318","318","","","FromOrToRoomIsNull"
"5585137","Interior","Лифтовый холл 318","318","","","FromOrToRoomIsNull"
"5585238","Interior","Лифтовый холл 358","358","","","FromOrToRoomIsNull"
"5585239","Interior","Лифтовый холл 358","358","","","FromOrToRoomIsNull"
