linkName,doorId,levelName,fromRoomName,fromRoomNumber,toRoomName,toRoomNumber,hostWallFunction,candidateReason
"16_ZALESN_Д1.1_БС1_Р_АР_R22.rvt : 3 : позиция <Не общедоступное>",5017267,"Э1_±0.000","Тамбур-шлюз 1.131","1.131","","","Interior","FromOrToRoomIsNull"
"16_ZALESN_Д1.1_БС1_Р_АР_R22.rvt : 3 : позиция <Не общедоступное>",5017268,"Э1_±0.000","Тамбур-шлюз 1.131","1.131","","","Interior","FromOrToRoomIsNull"
"16_ZALESN_Д1.1_БС1_Р_АР_R22.rvt : 3 : позиция <Не общедоступное>",5192786,"Э11_+30.150","Лифтовый холл 1.1135","1.1135","","","Interior","FromOrToRoomIsNull"
"16_ZALESN_Д1.1_БС1_Р_АР_R22.rvt : 3 : позиция <Не общедоступное>",5192787,"Э11_+30.150","Лифтовый холл 1.1135","1.1135","","","Interior","FromOrToRoomIsNull"
"16_ZALESN_Д1.1_БС1_Р_АР_R22.rvt : 3 : позиция <Не общедоступное>",5544799,"Э2_+3.150","Лифтовый холл 1.235","1.235","","","Interior","FromOrToRoomIsNull"
"16_ZALESN_Д1.1_БС1_Р_АР_R22.rvt : 3 : позиция <Не общедоступное>",5544800,"Э2_+3.150","Лифтовый холл 1.235","1.235","","","Interior","FromOrToRoomIsNull"
"16_ZALESN_Д1.1_БС1_Р_АР_R22.rvt : 3 : позиция <Не общедоступное>",5570282,"Э12_+33.150","Лифтовый холл 435","435","","","Interior","FromOrToRoomIsNull"
"16_ZALESN_Д1.1_БС1_Р_АР_R22.rvt : 3 : позиция <Не общедоступное>",5570283,"Э12_+33.150","Лифтовый холл 435","435","","","Interior","FromOrToRoomIsNull"
"16_ZALESN_Д1.1_БС1_Р_АР_R22.rvt : 3 : позиция <Не общедоступное>",5583384,"Э3_+6.150","Лифтовый холл 84","84","","","Interior","FromOrToRoomIsNull"
"16_ZALESN_Д1.1_БС1_Р_АР_R22.rvt : 3 : позиция <Не общедоступное>",5583385,"Э3_+6.150","Лифтовый холл 84","84","","","Interior","FromOrToRoomIsNull"
"16_ZALESN_Д1.1_БС1_Р_АР_R22.rvt : 3 : позиция <Не общедоступное>",5583516,"Э4_+9.150","Лифтовый холл 123","123","","","Interior","FromOrToRoomIsNull"
